,total_cases_per_million,people_vaccinated_per_hundred,stringency_index,aged_65_older,aged_70_older,median_age,population_density,cardiovasc_death_rate,diabetes_prevalence,icu_patients,total_deaths_per_million
7854,-1.0230488702152831,-1.4036924161772313,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.25089182434203955,650.332
7855,-1.017893650207223,-1.4033237668559984,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.24897856801787724,655.8610000000001
7856,-1.011844672488871,-1.4025864682135334,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.25171179133810906,670.0160000000001
7857,-1.0035872309181857,-1.401849169571068,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.25608494865048004,679.9680000000001
7858,-0.9941543256258393,-1.401849169571068,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.25581162631845683,688.041
7859,-0.9873670263207247,-1.401849169571068,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.2588181719707119,692.3530000000001
7860,-0.9828626877590999,-1.401849169571068,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.2588181719707119,693.9010000000001
7861,-0.9781154729336186,-1.401849169571068,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.26483126327522194,699.32
7862,-0.9727983451774439,-1.401849169571068,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.263464651615106,702.9689999999999
7863,-0.9653148337704262,-1.4011118709286028,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.26264468461903645,714.0269999999999
7864,-0.9573196833373537,-1.4007432216073699,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.2653779079392683,721.547
7865,-0.9490946291729653,-1.3996372736436722,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.2620980399549901,726.302
7866,-0.9424142141653036,-1.3941075338251823,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.26264468461903645,734.3739999999999
7867,-0.9350375577723699,-1.3922642872190192,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.2631913292830828,739.461
7868,-0.9296912637805065,-1.3911583392553213,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.2623713622870133,743.442
7869,-0.9247173956776863,-1.3889464433279255,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.26045810596285096,746.096
7870,-0.9196171991202875,-1.3826794048669706,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.26073142829487417,754.058
7871,-0.9134095641077984,-1.3764123664060155,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.2672911642634306,759.4760000000001
7872,-0.9020434293499027,-1.3694080293025954,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.2653779079392683,765.337
7873,-0.8970954477454249,-1.3616663935567097,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.2719376439078247,772.6360000000001
7874,-0.8915159995682679,-1.3590858483080812,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.2705710322477088,779.934
7875,-0.8874131945646367,-1.3568739523806854,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.2743975448960334,783.1410000000001
7876,-0.88365364921436,-1.3524501605258936,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.2727576109038943,787.564
7877,-0.8788416595762851,-1.3424966288526121,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.27330425556794063,796.079
7878,-0.8734306200551976,-1.333280395821796,1.6100106518465531,0.36321152961940484,0.6788538769650398,0.6433758501526958,-0.34059296241254017,-0.17892664112868803,-0.1816964364989733,-0.27576415655614933,800.2810000000001
