,total_cases_per_million,people_vaccinated_per_hundred,icu_patients,stringency_index,aged_65_older,aged_70_older,median_age,population_density,cardiovasc_death_rate,diabetes_prevalence,total_deaths_per_million
2249,-2.085284137518218,-1.4025885392370676,-0.3547638594728305,0.9514077246381372,-3.3122124605484107,-2.9379633116988746,-2.958779117032951,-0.6662161202912875,1.5033430353063881,-0.04476470071174373,64.729
2269,-2.0823511292319146,-1.3963220207134615,-0.35886602271157925,0.9514077246381372,-3.3122124605484107,-2.9379633116988746,-2.958779117032951,-0.6662161202912875,1.5033430353063881,-0.04476470071174373,66.209
2451,-2.030570817996442,-1.1198579682014245,-0.35503733702208046,-0.5464923432307318,-3.3122124605484107,-2.9379633116988746,-2.958779117032951,-0.6662161202912875,1.5033430353063881,-0.04476470071174373,111.102
2466,-2.0259839561047843,-0.9893669354157429,-0.3517556064310815,-0.5464923432307318,-3.3122124605484107,-2.9379633116988746,-2.958779117032951,-0.6662161202912875,1.5033430353063881,-0.04476470071174373,121.009
2474,-2.02440611185073,-0.9222783253394886,-0.3547638594728305,-0.3064401077320923,-3.3122124605484107,-2.9379633116988746,-2.958779117032951,-0.6662161202912875,1.5033430353063881,-0.04476470071174373,125.021
2487,-2.0227647365202714,-0.9053218634520837,-0.3602334104578288,-0.06703491329948713,-3.3122124605484107,-2.9379633116988746,-2.958779117032951,-0.6662161202912875,1.5033430353063881,-0.04476470071174373,129.257
2516,-2.020637351377631,-0.8798871706209763,-0.3594129778100791,-1.1456523703782793,-3.3122124605484107,-2.9379633116988746,-2.958779117032951,-0.6662161202912875,1.5033430353063881,-0.04476470071174373,132.014
2519,-2.0204755721508705,-0.87767545820088,-0.35968645535932897,-1.1456523703782793,-3.3122124605484107,-2.9379633116988746,-2.958779117032951,-0.6662161202912875,1.5033430353063881,-0.04476470071174373,132.327
2522,-2.0202862647392106,-0.8769382207275147,-0.3613273206548285,-1.1456523703782793,-3.3122124605484107,-2.9379633116988746,-2.958779117032951,-0.6662161202912875,1.5033430353063881,-0.04476470071174373,132.641
7854,-1.0182911355454256,-1.4022199205003851,-0.25056891320861335,1.610742570926853,0.3651556768720047,0.679292677606262,0.6439670500923366,-0.339848467611732,-0.18073743778057183,-0.18175619975795593,650.332
7855,-1.0131465210667123,-1.4018513017637022,-0.24865457036386399,1.610742570926853,0.3651556768720047,0.679292677606262,0.6439670500923366,-0.339848467611732,-0.18073743778057183,-0.18175619975795593,655.8610000000001
7856,-1.0071099875526057,-1.4011140642903368,-0.25138934585636313,1.610742570926853,0.3651556768720047,0.679292677606262,0.6439670500923366,-0.339848467611732,-0.18073743778057183,-0.18175619975795593,670.0160000000001
7857,-0.998869533528285,-1.4003768268169714,-0.25576498664436176,1.610742570926853,0.3651556768720047,0.679292677606262,0.6439670500923366,-0.339848467611732,-0.18073743778057183,-0.18175619975795593,679.9680000000001
