,date,iso_code,total_cases_per_million,people_vaccinated_per_hundred,median_age,icu_patients_per_million,total_deaths_per_million
7980,2021-02-12,AUT,47646.419,3.12,44.4,29.083000000000002,903.454
7981,2021-02-13,AUT,47804.883,3.17,44.4,29.525,906.2189999999999
7982,2021-02-14,AUT,47935.812000000005,3.18,44.4,28.198,907.988
7983,2021-02-15,AUT,48071.275,3.22,44.4,28.53,909.0939999999999
7984,2021-02-16,AUT,48229.075,3.3,44.4,29.194000000000003,913.4060000000001
7985,2021-02-17,AUT,48420.935,3.41,44.4,28.971999999999998,916.7239999999999
7986,2021-02-18,AUT,48638.449,3.55,44.4,29.194000000000003,919.1569999999999
7987,2021-02-19,AUT,48839.487,3.69,44.4,28.862,923.138
7988,2021-02-20,AUT,49047.049000000006,3.82,44.4,28.862,925.3489999999999
7989,2021-02-21,AUT,49250.299000000006,3.88,44.4,28.088,927.34
7990,2021-02-22,AUT,49390.738,3.94,44.4,27.866999999999997,928.556
7991,2021-02-23,AUT,49581.712999999996,4.05,44.4,30.189,932.648
7992,2021-02-24,AUT,49803.43,4.24,44.4,28.198,936.6289999999999
7993,2021-02-25,AUT,50067.831,4.42,44.4,27.424,939.172
7994,2021-02-26,AUT,50299.279,4.69,44.4,28.750999999999998,941.605
7995,2021-02-27,AUT,50570.97900000001,4.95,44.4,28.750999999999998,944.148
7996,2021-02-28,AUT,50805.744000000006,5.06,44.4,31.295,946.692
7997,2021-03-01,AUT,50961.554000000004,5.15,44.4,32.732,948.1289999999999
7998,2021-03-02,AUT,51173.871,5.4,44.4,33.285,951.557
7999,2021-03-03,AUT,51456.187000000005,5.69,44.4,34.611999999999995,953.7689999999999
8000,2021-03-04,AUT,51713.179000000004,5.97,44.4,33.396,956.755
8001,2021-03-05,AUT,52008.210999999996,6.35,44.4,35.939,958.6339999999999
8002,2021-03-06,AUT,52290.969000000005,6.63,44.4,34.944,961.3989999999999
8003,2021-03-07,AUT,52534.139,6.76,44.4,35.054,963.5
8004,2021-03-08,AUT,52745.35,6.87,44.4,36.824,965.6010000000001
8005,2021-03-09,AUT,53011.962999999996,7.15,44.4,36.381,968.3660000000001
8006,2021-03-10,AUT,53291.514,7.42,44.4,35.829,970.467
8007,2021-03-11,AUT,53622.928,7.86,44.4,37.819,972.8989999999999
8008,2021-03-12,AUT,53968.607,8.45,44.4,38.260999999999996,976.549
8009,2021-03-13,AUT,54302.89599999999,8.97,44.4,39.367,979.313
8010,2021-03-14,AUT,54579.683,9.27,44.4,38.925,981.193
8011,2021-03-15,AUT,54789.346,9.48,44.4,41.247,983.294
8012,2021-03-16,AUT,55057.507000000005,9.73,44.4,43.68,986.943
8013,2021-03-17,AUT,55426.297999999995,10.02,44.4,43.79,990.3710000000001
8014,2021-03-18,AUT,55797.52099999999,10.32,44.4,42.906000000000006,993.247
8015,2021-03-19,AUT,56186.21599999999,10.83,44.4,44.233000000000004,997.8910000000001
8016,2021-03-20,AUT,56556.002,11.25,44.4,43.458999999999996,1000.987
8017,2021-03-21,AUT,56856.011,11.38,44.4,46.001999999999995,1003.42
8018,2021-03-22,AUT,57122.734000000004,11.53,44.4,48.214,1005.079
8019,2021-03-23,AUT,57500.372,11.74,44.4,48.435,1008.617
8020,2021-03-24,AUT,57864.075,11.99,44.4,49.762,1011.935
8021,2021-03-25,AUT,58209.532999999996,12.32,44.4,50.315,1014.921
8022,2021-03-26,AUT,58640.25,12.68,44.4,52.083999999999996,1017.3530000000001
8023,2021-03-27,AUT,59027.065,12.98,44.4,56.176,1020.7810000000001
8024,2021-03-28,AUT,59323.314000000006,13.09,44.4,57.281000000000006,1023.546
8025,2021-03-29,AUT,59663.46400000001,13.32,44.4,59.382,1025.647
