,total_cases_per_million,people_vaccinated_per_hundred,icu_patients,stringency_index,aged_65_older,aged_70_older,median_age,population_density,cardiovasc_death_rate,diabetes_prevalence,total_deaths_per_million
2249,-1.070668107530228,-0.8431013839298652,-0.6383620851003899,1.7177404152228029,-1.4314064723574376,-1.340254687542464,-1.542587586722563,-0.6563492683151391,1.6616965671991575,-0.44888483315462385,64.729
2269,-1.0628348369558147,-0.8364833431213201,-0.7939426518766103,1.7177404152228029,-1.4314064723574376,-1.340254687542464,-1.542587586722563,-0.6563492683151391,1.6616965671991575,-0.44888483315462385,66.209
2451,-0.9245436530444295,-0.5445109545090383,-0.6487341228854713,-0.5434008507934164,-1.4314064723574376,-1.340254687542464,-1.542587586722563,-0.6563492683151391,1.6616965671991575,-0.44888483315462385,111.102
2487,-0.9036957241059715,-0.3179403809459076,-0.8458028408020171,0.18035970130939907,-1.4314064723574376,-1.340254687542464,-1.542587586722563,-0.6563492683151391,1.6616965671991575,-0.44888483315462385,129.257
2516,-0.8980140547032242,-0.2910789211935777,-0.8146867274467731,-1.447857357199904,-1.4314064723574376,-1.340254687542464,-1.542587586722563,-0.6563492683151391,1.6616965671991575,-0.44888483315462385,132.014
2519,-0.8975819862148918,-0.2887431420846794,-0.8250587652318544,-1.447857357199904,-1.4314064723574376,-1.340254687542464,-1.542587586722563,-0.6563492683151391,1.6616965671991575,-0.44888483315462385,132.327
2522,-0.8970763974021361,-0.28796454904838,-0.8872909919423425,-1.447857357199904,-1.4314064723574376,-1.340254687542464,-1.542587586722563,-0.6563492683151391,1.6616965671991575,-0.44888483315462385,132.641
42091,-0.6563944254494907,-0.7687457489632707,-0.7628265385213663,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,118.053
42092,-0.6514992362051472,-0.7660206733362228,-0.7628265385213663,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,118.053
42093,-0.6445221418079385,-0.7605705220821268,-0.7731985763064476,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,118.954
42094,-0.6385719124940006,-0.753563184755432,-0.7524545007362848,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,119.675
42095,-0.6334656840169168,-0.7465558474287374,-0.7731985763064476,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,120.93700000000001
42098,-0.6182736689535417,-0.7411056961746414,-0.8043146896616916,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,122.01799999999999
42099,-0.6140255678300007,-0.7407163996564917,-0.8043146896616916,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,123.28
42100,-0.6102978844593858,-0.7379913240294438,-0.7420824629512035,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,123.46
42101,-0.6040522470478438,-0.730983986702749,-0.7420824629512035,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,124.001
42102,-0.5984115523481986,-0.7274803180394016,-0.7731985763064476,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,124.001
42105,-0.5832898576800525,-0.7231980563397548,-0.8146867274467731,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,124.001
42106,-0.5771286671804277,-0.7212515737490063,-0.8250587652318544,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,126.704
42107,-0.5715019429033643,-0.7181372016038086,-0.8146867274467731,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,126.704
42108,-0.5664661128685631,-0.7115191607952636,-0.8146867274467731,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,127.605
42109,-0.5607409712570004,-0.7045118234685688,-0.7939426518766103,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,127.96600000000001
42112,-0.545408237356114,-0.6955580035511255,-0.7628265385213663,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,129.047
42113,-0.5399925523117908,-0.6912757418514787,-0.7005943118108781,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,129.768
42114,-0.5322840009289156,-0.6819326254158856,-0.6694781984556339,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,130.309
42115,-0.5236470798443221,-0.6718109159439931,-0.7005943118108781,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,130.66899999999998
42116,-0.51740144243278,-0.6593534273632026,-0.7317104251661222,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,130.66899999999998
42121,-0.48267081580093635,-0.6309347815382738,-0.6176180095302272,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,132.832
42122,-0.47472312824605045,-0.6188665894756328,-0.6072459717451458,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,133.373
42123,-0.46459511820380056,-0.5994017635681473,-0.5865018961749832,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,133.733
42126,-0.4412866778558118,-0.5733188968521168,-0.5761298583899017,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,135.175
42128,-0.42190275554743617,-0.5593042221987273,-0.5968739339600645,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,136.797
42129,-0.4112402012355712,-0.5445109545090383,-0.5761298583899017,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,137.69799999999998
42130,-0.4013372788956967,-0.5281605007467505,-0.5865018961749832,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,138.239
42133,-0.37857735323990427,-0.5051920061759176,-0.5968739339600645,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,139.501
42134,-0.37030616064814403,-0.4989632618855223,-0.5657578206048204,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,139.861
42135,-0.35934819823867503,-0.48144491856878546,-0.5346417072495764,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,139.861
42136,-0.34922018819642486,-0.46431587177019823,-0.555385782819739,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,139.861
42137,-0.33928909087022663,-0.4464082319353116,-0.4931535561092509,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,141.66299999999998
42140,-0.3108884705147891,-0.4238290338826285,-0.4620374427540068,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,144.187
42141,-0.30361596801997615,-0.41448591744703545,-0.47240948053908816,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,144.36700000000002
42142,-0.29177185936474753,-0.3965782776121488,-0.39980521604351865,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,144.908
42143,-0.2804622169320803,-0.37166330045056745,-0.4620374427540068,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,145.088
42144,-0.2696308468434339,-0.3510305849886328,-0.41017725382860004,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,145.088
42147,-0.24422645287294495,-0.3280620904178,-0.41017725382860004,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,145.629
42148,-0.23522372524846477,-0.32183334612740466,-0.3168289137628678,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,145.629
42149,-0.2239282093324862,-0.3101544505829134,-0.33757298933303054,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,145.809
42150,-0.21371575237831858,-0.2930254037843262,-0.3686891026882746,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,146.89
42151,-0.20651364832578797,-0.27472846743128987,-0.3686891026882746,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,147.251
42154,-0.18300821721469399,-0.2509813798241576,-0.4205492916136814,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,148.15200000000002
42155,-0.1771002113567148,-0.2377452982070675,-0.4620374427540068,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,148.873
42156,-0.16856170760662048,-0.21672328622698322,-0.4620374427540068,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,152.11700000000002
42157,-0.15936214531314222,-0.18986182647465324,-0.4412933671838441,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,152.477
42162,-0.13176330233860015,-0.15832880850452685,-0.5138976316794136,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,155.001
42163,-0.12686803504720318,-0.14626061644188593,-0.5138976316794136,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,155.361
42164,-0.12087566032436008,-0.12134563928030452,-0.5450137450346577,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,156.082
42165,-0.11498170293601584,-0.09448417952797454,-0.555385782819739,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,156.44299999999998
42168,-0.10067591216545384,-0.0473793008318597,-0.5450137450346577,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,157.524
42171,-0.08696085954304675,0.020358293326189627,-0.5968739339600645,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,159.507
42172,-0.08161557294100608,0.0464411600422202,-0.6279900473153086,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,159.86700000000002
42175,-0.07241593260047412,0.08420292230274194,-0.6279900473153086,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,160.588
42176,-0.0694056577458907,0.10172126561947882,-0.6072459717451458,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,160.94799999999998
42183,-0.04605499394194321,0.24381449474412273,-0.6487341228854713,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,163.65200000000002
42184,-0.04262271866893277,0.2780725883412971,-0.6383620851003899,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,164.19299999999998
42186,-0.03695384898296391,0.3247881705192622,-0.6591061606705526,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,164.733
42189,-0.029399986860181766,0.3485352581263944,-0.6902222740257967,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,164.91400000000002
42190,-0.026811712424025375,0.3660536014431313,-0.6798502362407154,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,165.09400000000002
42191,-0.02302775712781668,0.4232801896111386,-0.7317104251661222,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,165.454
42200,0.0035300942467660044,0.624935786012688,-0.6902222740257967,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,167.797
42203,0.011449684862381505,0.6537437283557664,-0.7005943118108781,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,168.158
42205,0.017610875362006163,0.6735978507814016,-0.7109663495959594,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,167.437
42206,0.021254111820703345,0.7016272000881806,-0.6902222740257967,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,167.437
42207,0.024222241266381735,0.7475641892298462,-0.6902222740257967,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,167.97799999999998
42211,0.0324793853885067,0.8024549982889554,-0.7939426518766103,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,169.78
42214,0.0395126736642559,0.8666889237836574,-0.7731985763064476,-0.22693874703995828,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,170.861
42243,0.07812575097386103,1.4159863108928967,-0.9184071052975866,-0.6781902653550747,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,174.646
42245,0.08064370501478836,1.4210471656288428,-0.928779143082668,-0.6781902653550747,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,174.646
42247,0.08871798489049665,1.4658162652160596,-0.9080350675125053,-0.6781902653550747,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,174.646
42249,0.0948791753901213,1.5074709926580787,-0.8665469163721798,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,175.36700000000002
42250,0.09757999367746532,1.5203177777570192,-0.8665469163721798,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,175.36700000000002
42251,0.09886004340238179,1.5230428533840668,-0.8769189541572612,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,175.36700000000002
42253,0.10347395106580944,1.525767929011115,-0.8872909919423425,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,175.36700000000002
42254,0.10710313905487165,1.5393933071463546,-0.9080350675125053,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,175.908
42255,0.11132314323914276,1.5514614992089957,-0.9080350675125053,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,175.908
42256,0.1155712443626835,1.5709263251164811,-0.8976630297274238,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,175.908
42257,0.11969283121245564,1.5837731102154216,-0.8976630297274238,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,175.908
42258,0.12163401752780946,1.5989556744232603,-0.8976630297274238,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,175.908
42259,0.12350488344793424,1.6020700465684579,-0.8976630297274238,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,175.908
42260,0.12758424684174724,1.615306128185548,-0.8872909919423425,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,175.908
42261,0.1329717568997469,1.6273743202481892,-0.8769189541572612,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,176.268
42262,0.1375293926375806,1.63944251231083,-0.8976630297274238,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,176.268
42264,0.14827631581430942,1.6507321113371713,-0.8769189541572612,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,176.449
42265,0.15080831832487188,1.6585180417001657,-0.8769189541572612,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,176.449
42266,0.15300268928187144,1.6616324138453633,-0.8561748785870985,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,176.449
42267,0.15948746286542415,1.6694183442083577,-0.8561748785870985,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,176.268
42268,0.1658596925977892,1.6787614606439505,-0.8769189541572612,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,176.268
