,Entity,Code,Day,facial_coverings,restriction_gatherings
24939,Comoros,COM,2020-04-28,0.0,
24940,Comoros,COM,2020-04-29,0.0,
24941,Comoros,COM,2020-04-30,0.0,
24942,Comoros,COM,2020-05-01,0.0,
24943,Comoros,COM,2020-05-02,0.0,
24944,Comoros,COM,2020-05-03,0.0,
24945,Comoros,COM,2020-05-04,0.0,
24946,Comoros,COM,2020-05-05,0.0,
24947,Comoros,COM,2020-05-06,0.0,
24948,Comoros,COM,2020-05-07,0.0,
24949,Comoros,COM,2020-05-08,0.0,
24950,Comoros,COM,2020-05-09,0.0,
24951,Comoros,COM,2020-05-10,0.0,
24952,Comoros,COM,2020-05-11,0.0,
24953,Comoros,COM,2020-05-12,0.0,
24954,Comoros,COM,2020-05-13,0.0,
24955,Comoros,COM,2020-05-14,0.0,
24956,Comoros,COM,2020-05-15,0.0,
24957,Comoros,COM,2020-05-16,0.0,
24958,Comoros,COM,2020-05-17,0.0,
24959,Comoros,COM,2020-05-18,0.0,
24960,Comoros,COM,2020-05-19,0.0,
24961,Comoros,COM,2020-05-20,0.0,
24962,Comoros,COM,2020-05-21,0.0,
24963,Comoros,COM,2020-05-22,2.0,
24964,Comoros,COM,2020-05-23,2.0,
24965,Comoros,COM,2020-05-24,2.0,
24966,Comoros,COM,2020-05-25,2.0,
24967,Comoros,COM,2020-05-26,2.0,
24968,Comoros,COM,2020-05-27,2.0,
24969,Comoros,COM,2020-05-28,2.0,
24970,Comoros,COM,2020-05-29,2.0,
24971,Comoros,COM,2020-05-30,2.0,
24972,Comoros,COM,2020-05-31,2.0,
24973,Comoros,COM,2020-06-01,2.0,
24974,Comoros,COM,2020-06-02,2.0,
24975,Comoros,COM,2020-06-03,2.0,
24976,Comoros,COM,2020-06-04,2.0,
24977,Comoros,COM,2020-06-05,2.0,
24978,Comoros,COM,2020-06-06,2.0,
24979,Comoros,COM,2020-06-07,2.0,
24980,Comoros,COM,2020-06-08,2.0,
24981,Comoros,COM,2020-06-09,2.0,
24982,Comoros,COM,2020-06-10,2.0,
24983,Comoros,COM,2020-06-11,2.0,
24984,Comoros,COM,2020-06-12,2.0,
24985,Comoros,COM,2020-06-13,2.0,
24986,Comoros,COM,2020-06-14,2.0,
24987,Comoros,COM,2020-06-15,2.0,
24988,Comoros,COM,2020-06-16,2.0,
24989,Comoros,COM,2020-06-17,2.0,
24990,Comoros,COM,2020-06-18,2.0,
24991,Comoros,COM,2020-06-19,2.0,
24992,Comoros,COM,2020-06-20,2.0,
24993,Comoros,COM,2020-06-21,2.0,
24994,Comoros,COM,2020-06-22,2.0,
24995,Comoros,COM,2020-06-23,2.0,
24996,Comoros,COM,2020-06-24,2.0,
24997,Comoros,COM,2020-06-25,2.0,
24998,Comoros,COM,2020-06-26,2.0,
24999,Comoros,COM,2020-06-27,2.0,
25000,Comoros,COM,2020-06-28,2.0,
25001,Comoros,COM,2020-06-29,2.0,
25002,Comoros,COM,2020-06-30,2.0,
25003,Comoros,COM,2020-07-01,2.0,
25004,Comoros,COM,2020-07-02,2.0,
25005,Comoros,COM,2020-07-03,2.0,
25006,Comoros,COM,2020-07-04,2.0,
25007,Comoros,COM,2020-07-05,2.0,
25008,Comoros,COM,2020-07-06,2.0,
25009,Comoros,COM,2020-07-07,2.0,
25010,Comoros,COM,2020-07-08,2.0,
25011,Comoros,COM,2020-07-09,2.0,
25012,Comoros,COM,2020-07-10,2.0,
25013,Comoros,COM,2020-07-11,2.0,
25014,Comoros,COM,2020-07-12,2.0,
25015,Comoros,COM,2020-07-13,2.0,
25016,Comoros,COM,2020-07-14,2.0,
25017,Comoros,COM,2020-07-15,2.0,
25018,Comoros,COM,2020-07-16,2.0,
25019,Comoros,COM,2020-07-17,2.0,
25020,Comoros,COM,2020-07-18,2.0,
25021,Comoros,COM,2020-07-19,2.0,
25022,Comoros,COM,2020-07-20,2.0,
25023,Comoros,COM,2020-07-21,2.0,
25024,Comoros,COM,2020-07-22,2.0,
25025,Comoros,COM,2020-07-23,2.0,
25026,Comoros,COM,2020-07-24,2.0,
25027,Comoros,COM,2020-07-25,2.0,
25028,Comoros,COM,2020-07-26,2.0,
25029,Comoros,COM,2020-07-27,2.0,
25030,Comoros,COM,2020-07-28,2.0,
25031,Comoros,COM,2020-07-29,2.0,
25032,Comoros,COM,2020-07-30,2.0,
25033,Comoros,COM,2020-07-31,2.0,
25034,Comoros,COM,2020-08-01,2.0,
25035,Comoros,COM,2020-08-02,2.0,
25036,Comoros,COM,2020-08-03,2.0,
25037,Comoros,COM,2020-08-04,2.0,
25038,Comoros,COM,2020-08-05,2.0,
25039,Comoros,COM,2020-08-06,2.0,
25040,Comoros,COM,2020-08-07,3.0,
25041,Comoros,COM,2020-08-08,3.0,
25042,Comoros,COM,2020-08-09,3.0,
25043,Comoros,COM,2020-08-10,3.0,
25044,Comoros,COM,2020-08-11,3.0,
25045,Comoros,COM,2020-08-12,3.0,
25046,Comoros,COM,2020-08-13,3.0,
25047,Comoros,COM,2020-08-14,3.0,
25048,Comoros,COM,2020-08-15,3.0,
25049,Comoros,COM,2020-08-16,3.0,
25050,Comoros,COM,2020-08-17,3.0,
25051,Comoros,COM,2020-08-18,3.0,
