Entity,Code,Day,testing_policy,vaccination_policy,facial_coverings,restriction_gatherings,stay_home_requirements,total_cases,new_cases
Qatar,QAT,3/10/21,3,5,3,4,1,236913,79
Qatar,QAT,4/10/21,3,5,3,4,1,236990,77
Qatar,QAT,5/10/21,3,5,2,4,1,237048,58
Qatar,QAT,6/10/21,3,5,2,4,1,237147,99
Qatar,QAT,7/10/21,3,5,2,4,1,237225,78
Qatar,QAT,8/10/21,3,5,2,4,1,237297,72
Qatar,QAT,9/10/21,3,5,2,4,1,237359,62
Qatar,QAT,10/10/21,3,5,2,4,1,237424,65
Qatar,QAT,11/10/21,3,5,2,4,1,237483,59
Qatar,QAT,12/10/21,3,5,2,4,1,237579,96
Qatar,QAT,13/10/21,3,5,2,4,1,237662,83
Qatar,QAT,14/10/21,3,5,2,4,1,237741,79
Qatar,QAT,15/10/21,3,5,2,4,1,237798,57
Qatar,QAT,16/10/21,3,5,2,3,1,237867,69
Qatar,QAT,17/10/21,3,5,2,3,1,237929,62
Qatar,QAT,18/10/21,3,5,2,3,1,237996,67
Qatar,QAT,19/10/21,3,5,2,3,1,238079,83
Qatar,QAT,20/10/21,3,5,2,3,1,238165,86
Qatar,QAT,21/10/21,3,5,2,3,1,238271,106
Qatar,QAT,22/10/21,3,5,2,3,1,238359,88
Qatar,QAT,23/10/21,3,5,2,3,1,238436,77
Qatar,QAT,24/10/21,3,5,2,3,1,238518,82
Qatar,QAT,25/10/21,3,5,2,3,1,238640,122
Qatar,QAT,26/10/21,3,5,2,3,1,238742,102
Qatar,QAT,27/10/21,3,5,2,3,1,238845,103
Qatar,QAT,28/10/21,3,5,2,3,1,238950,105
Qatar,QAT,29/10/21,3,5,2,3,1,239051,101
Qatar,QAT,30/10/21,3,5,2,3,1,239143,92
Qatar,QAT,31/10/21,3,5,2,3,1,239247,104
Romania,ROU,1/1/20,0,0,0,0,0,0,0
Romania,ROU,2/1/20,0,0,0,0,0,0,0
Romania,ROU,3/1/20,0,0,0,0,0,0,0
Romania,ROU,4/1/20,0,0,0,0,0,0,0
Romania,ROU,5/1/20,0,0,0,0,0,0,0
Romania,ROU,6/1/20,0,0,0,0,0,0,0
Romania,ROU,7/1/20,0,0,0,0,0,0,0
Romania,ROU,8/1/20,0,0,0,0,0,0,0
Romania,ROU,9/1/20,0,0,0,0,0,0,0
Romania,ROU,10/1/20,0,0,0,0,0,0,0
Romania,ROU,11/1/20,0,0,0,0,0,0,0
Romania,ROU,12/1/20,0,0,0,0,0,0,0
Romania,ROU,13/1/20,0,0,0,0,0,0,0
Romania,ROU,14/1/20,0,0,0,0,0,0,0
Romania,ROU,15/1/20,0,0,0,0,0,0,0
Romania,ROU,16/1/20,0,0,0,0,0,0,0
Romania,ROU,17/1/20,0,0,0,0,0,0,0
Romania,ROU,18/1/20,0,0,0,0,0,0,0
Romania,ROU,19/1/20,0,0,0,0,0,0,0
Romania,ROU,20/1/20,0,0,0,0,0,0,0
Romania,ROU,21/1/20,0,0,0,0,0,0,0
Romania,ROU,22/1/20,0,0,0,0,0,0,0
Romania,ROU,23/1/20,0,0,0,0,0,0,0
Romania,ROU,24/1/20,0,0,0,0,0,0,0
Romania,ROU,25/1/20,0,0,0,0,0,0,0
Romania,ROU,26/1/20,0,0,0,0,0,0,0
Romania,ROU,27/1/20,0,0,0,0,0,0,0
Romania,ROU,28/1/20,0,0,0,0,0,0,0
Romania,ROU,29/1/20,0,0,0,0,0,0,0
Romania,ROU,30/1/20,0,0,0,0,0,0,0
Romania,ROU,31/1/20,0,0,0,0,0,0,0
Romania,ROU,1/2/20,0,0,0,0,0,0,0
Romania,ROU,2/2/20,0,0,0,0,0,0,0
Romania,ROU,3/2/20,0,0,0,0,0,0,0
Romania,ROU,4/2/20,0,0,0,0,0,0,0
Romania,ROU,5/2/20,0,0,0,0,0,0,0
Romania,ROU,6/2/20,0,0,0,0,0,0,0
Romania,ROU,7/2/20,0,0,0,0,0,0,0
Romania,ROU,8/2/20,0,0,0,0,0,0,0
Romania,ROU,9/2/20,0,0,0,0,0,0,0
Romania,ROU,10/2/20,0,0,0,0,0,0,0
Romania,ROU,11/2/20,0,0,0,0,0,0,0
Romania,ROU,12/2/20,0,0,0,0,0,0,0
