Entity,Code,Day,testing_policy,vaccination_policy,facial_coverings,restriction_gatherings,stay_home_requirements
Albania,ALB,11/5/20,2,0,1,4,2
Albania,ALB,12/5/20,2,0,1,4,2
Albania,ALB,13/5/20,2,0,1,4,2
Albania,ALB,14/5/20,2,0,1,4,2
Albania,ALB,15/5/20,2,0,1,4,2
Albania,ALB,16/5/20,2,0,1,4,2
Albania,ALB,17/5/20,2,0,1,4,2
Albania,ALB,18/5/20,2,0,1,4,2
Albania,ALB,19/5/20,2,0,1,4,2
Albania,ALB,20/5/20,2,0,1,4,2
Albania,ALB,21/5/20,2,0,1,4,2
Albania,ALB,22/5/20,2,0,1,4,2
Albania,ALB,23/5/20,2,0,1,4,2
Albania,ALB,24/5/20,2,0,1,4,2
Albania,ALB,25/5/20,2,0,1,4,2
Albania,ALB,26/5/20,1,0,1,4,2
Albania,ALB,27/5/20,1,0,1,4,2
Albania,ALB,28/5/20,1,0,1,4,2
Albania,ALB,29/5/20,1,0,1,4,2
Albania,ALB,30/5/20,1,0,1,4,2
Albania,ALB,31/5/20,1,0,1,4,2
Albania,ALB,1/6/20,1,0,1,4,1
Albania,ALB,2/6/20,1,0,1,4,1
Albania,ALB,3/6/20,1,0,1,4,1
Albania,ALB,4/6/20,1,0,1,4,1
Albania,ALB,5/6/20,1,0,1,4,1
Albania,ALB,6/6/20,1,0,1,4,1
Albania,ALB,7/6/20,1,0,1,4,1
Albania,ALB,8/6/20,1,0,1,4,1
Albania,ALB,9/6/20,1,0,1,4,1
Albania,ALB,10/6/20,1,0,1,4,1
Albania,ALB,11/6/20,1,0,1,4,1
Albania,ALB,12/6/20,1,0,1,4,1
Albania,ALB,13/6/20,1,0,1,4,1
Albania,ALB,14/6/20,1,0,1,4,1
Albania,ALB,15/6/20,1,0,1,4,1
Albania,ALB,16/6/20,1,0,1,4,1
Albania,ALB,17/6/20,1,0,1,4,1
Albania,ALB,18/6/20,1,0,1,4,1
Albania,ALB,19/6/20,1,0,1,4,1
Albania,ALB,20/6/20,1,0,1,4,1
Albania,ALB,21/6/20,1,0,1,4,1
Albania,ALB,22/6/20,1,0,1,4,1
Albania,ALB,23/6/20,1,0,1,4,1
Albania,ALB,24/6/20,1,0,1,4,1
Albania,ALB,25/6/20,1,0,1,4,1
Albania,ALB,26/6/20,1,0,1,4,1
